predictor,response,,
462.3338417,80,,
150.1064242,13,,
231.212124,14,,
606.1127591,136,,
175.6232984,18,,
788.3297463,283,,
876.5037765,349,,
53.3212584,14,,
32.12541505,7,,
675.2839801,168,,
71.59708184,2,,
532.393215,89,,
455.0084998,68,,
378.8728833,51,,
199.6200311,27,,
130.8868718,11,,
644.7047088,138,,
270.100248,30,,
294.4919067,23,,
254.0132357,29,,
705.6528889,175,,
304.3996545,22,,
961.6831576,455,,
43.25947934,5,,
330.2762131,47,,
576.4750526,92,,
488.846896,76,,
771.2788929,239,,
982.41065,497,,
299.6506873,27,,
547.4223548,94,,
851.9714172,346,,
183.6525931,20,,
704.2900361,184,,
239.95984,29,,
408.6284658,40,,
225.5863862,21,,
246.6795712,27,,
843.0296066,293,,
830.9749698,328,,
797.7084394,265,,
630.1497251,131,,
733.5652683,215,,
74.90684674,8,,
635.8394651,126,,
18.75028876,8,,
607.1133926,107,,
414.2312009,43,,
352.9187276,36,,
566.4866616,108,,
416.7915231,54,,
29.45062215,7,,
444.1502057,59,,
692.2285147,179,,
110.6802851,15,,
113.1238539,11,,
593.3611104,129,,
850.7154016,327,,
961.6369179,447,,
344.6135607,38,,
993.325789,498,,
647.1528958,144,,
671.1944628,163,,
833.6394872,314,,
240.8032462,32,,
886.4748431,367,,
342.6008557,34,,
692.44827,183,,
948.2454208,411,,
170.3320425,19,,
497.0823384,61,,
902.1803094,387,,
469.896188,58,,
270.2395192,29,,
422.705618,58,,
363.6557255,30,,
332.786534,30,,
76.74804772,8,,
324.0529501,25,,
326.4636782,39,,
458.2030082,63,,
966.4530356,474,,
222.9547026,20,,
559.7030027,92,,
784.0904424,254,,
528.3540036,88,,
786.4969566,259,,
653.9229953,151,,
175.5669136,17,,
28.83864497,11,,
156.6729231,12,,
795.8521645,258,,
909.8028515,386,,
466.3683719,65,,
597.6999816,114,,
442.554113,63,,
406.5013719,46,,
949.12477,465,,
218.5347106,24,,
615.5969482,133,,
333.9211668,40,,
605.3575487,119,,
184.5928486,23,,
36.77048814,3,,
122.4617886,12,,
649.3448487,143,,
452.7514041,64,,
810.7010755,277,,
112.6520385,15,,
438.0240287,56,,
64.9386656,9,,
47.68928606,8,,
286.177028,29,,
260.8118092,21,,
80.67119401,13,,
167.1808832,12,,
187.8464075,18,,
631.707835,147,,
526.4574222,85,,
868.2230136,356,,
666.4581986,143,,
924.5793095,419,,
86.36343316,8,,
679.1720765,181,,
210.6053971,17,,
223.4726313,30,,
344.212573,43,,
980.9089596,478,,
308.3385206,34,,
676.621676,173,,
27.69137849,9,,
56.86659948,9,,
126.6074104,16,,
339.7539908,29,,
179.2855044,16,,
252.0765699,24,,
95.21703096,13,,
671.8296688,145,,
141.6817389,12,,
5.268622888,9,,
616.8976058,123,,
439.9339114,53,,
0.423790421,6,,
300.1256995,38,,
792.0539852,231,,
621.8311111,140,,
764.1674369,241,,
392.3848209,46,,
425.4303973,55,,
288.209216,27,,
978.9595725,471,,
905.2218208,394,,
287.4530808,23,,
108.5687287,13,,
626.299405,148,,
616.6583241,126,,
160.4137339,18,,
644.7303959,131,,
584.9724184,102,,
281.424839,21,,
37.09979891,3,,
576.791103,111,,
628.1539293,132,,
193.6410249,14,,
856.1250516,332,,
855.3824052,319,,
710.5132868,199,,
826.1389127,308,,
749.0117352,216,,
199.5035899,19,,
759.4638723,215,,
787.7374908,252,,
554.5439536,94,,
689.4116225,186,,
242.1312958,20,,
425.7663828,69,,
416.0272595,36,,
708.4105958,176,,
284.8539806,27,,
434.9683218,63,,
945.5943957,426,,
427.8635895,57,,
860.9590128,331,,
697.7868911,183,,
476.732041,79,,
340.4623941,38,,
828.6866399,283,,
216.7346613,16,,
246.558184,27,,
978.153191,491,,
733.1270934,216,,
684.0835623,169,,
33.22377731,14,,
5.89085184,6,,
859.4384096,300,,
856.7162,287,,
577.1641186,117,,
724.2015903,204,,
544.4179862,107,,
538.0533671,80,,
279.1618533,27,,
221.1885822,22,,
879.3859654,362,,
132.4207662,14,,
217.0638626,28,,
720.5977761,183,,
431.7115194,58,,
770.2220853,235,,
793.7030157,277,,
854.0262887,341,,
973.2241828,471,,
311.9315985,26,,
864.0608659,312,,
842.7268909,308,,
997.608185,500,,
132.4301134,16,,
402.8085805,36,,
963.9377163,448,,
593.4083534,125,,
814.3659979,289,,
365.5674157,34,,
5.12288278,5,,
942.5770156,425,,
559.2532437,93,,
881.8947107,366,,
697.7990973,170,,
567.4054443,91,,
903.0175232,390,,
752.0894129,218,,
579.9074823,108,,
109.9274915,14,,
170.7694365,16,,
227.4548505,16,,
465.0450286,65,,
99.4784073,12,,
973.773062,467,,
563.1430189,105,,
175.7692641,11,,
440.0370899,58,,
94.31712306,21,,
167.0160794,15,,
751.2534566,235,,
326.1598947,42,,
243.6987436,15,,
862.7327145,360,,
155.7874638,19,,
517.3248164,67,,
76.37981442,18,,
781.7685041,264,,
87.16738014,8,,
490.349133,68,,
759.673388,241,,
484.4259783,76,,
255.8149903,22,,
657.7690511,136,,
811.7937674,277,,
85.87632468,10,,
698.7970353,155,,
138.3575541,14,,
454.1083118,74,,
188.4070118,22,,
476.6357702,60,,
846.7256264,341,,
585.2757785,136,,
138.7135023,11,,
369.4457309,42,,
51.36043183,12,,
659.2256206,152,,
850.5224306,324,,
752.9153829,255,,
724.1378757,212,,
959.8273814,449,,
311.5482361,36,,
101.0396522,12,,
999.7610089,503,,
421.732896,46,,
407.2219678,39,,
396.8202744,55,,
60.73235883,12,,
729.131835,191,,
985.6119773,474,,
807.2145435,261,,
449.1323121,73,,
293.035114,31,,
846.4243533,304,,
899.1518931,337,,
812.1466986,296,,
82.06445095,9,,
969.8598664,482,,
79.30817222,12,,
112.0275857,11,,
783.0802365,283,,
293.9220422,26,,
236.9910448,18,,
228.1065774,21,,
89.37583701,12,,
679.6952365,175,,
64.89864853,8,,
865.3691991,347,,
641.5276101,135,,
735.1269289,226,,
812.5812772,288,,
392.407631,48,,
338.8207925,32,,
820.5090801,266,,
774.467011,238,,
900.2280047,395,,
304.0340801,23,,
201.3827895,17,,
496.704242,75,,
270.3378086,31,,
312.8503209,27,,
97.94731042,10,,
786.0679319,272,,
729.1666504,211,,
853.6801254,339,,
904.3705349,399,,
415.3286919,52,,
941.0432843,445,,
895.425193,367,,
829.8330721,307,,
293.3350843,25,,
249.6717209,21,,
489.2666128,79,,
851.4101596,322,,
813.7192805,245,,
486.0873863,67,,
950.4549776,421,,
929.8287448,430,,
996.671404,494,,
431.2017316,46,,
102.7329979,10,,
879.4462318,358,,
653.4989804,144,,
818.4320219,275,,
110.0902962,11,,
330.0082239,30,,
167.4726543,11,,
116.5349043,10,,
971.467582,446,,
934.1168664,386,,
189.1562268,20,,
101.1165443,12,,
692.0455878,181,,
914.774419,391,,
207.1469456,19,,
160.1982925,14,,
293.9892486,32,,
408.402266,43,,
688.6107733,171,,
72.93696981,9,,
865.7690564,354,,
824.223012,288,,
205.4231456,22,,
964.6489182,458,,
171.9980852,13,,
968.8011485,446,,
153.170391,18,,
483.4622403,76,,
685.6051311,163,,
514.6267209,81,,
395.5581689,58,,
497.3574597,76,,
792.2071365,284,,
369.7522047,48,,
524.1051137,82,,
786.8188736,283,,
990.0013795,499,,
836.5766134,302,,
708.3036052,184,,
543.2290218,105,,
254.7648232,29,,
194.6131801,21,,
848.4141496,308,,
903.1562533,392,,
316.8334605,33,,
486.2244425,80,,
126.465633,11,,
710.8883436,194,,
351.2688263,30,,
1.530575333,10,,
73.02830275,9,,
502.8115204,73,,
512.0359708,79,,
775.9506155,257,,
622.9634034,125,,
983.3365967,478,,
120.5308349,11,,
812.3401927,255,,
694.6755394,183,,
128.2043087,8,,
882.9390164,370,,
46.30390881,8,,
638.6479076,142,,
457.4438806,68,,
389.6248243,43,,
353.8010495,40,,
920.9389014,388,,
444.7280345,61,,
22.16967684,10,,
323.7193334,39,,
888.4634343,363,,
751.0310945,237,,
262.3996516,21,,
777.2283067,273,,
679.9722919,172,,
245.4834981,29,,
635.6328868,152,,
147.080515,13,,
221.1870728,23,,
392.9264285,47,,
567.0717806,75,,
469.536311,67,,
857.4023882,328,,
37.65853192,9,,
613.7468533,122,,
585.7737323,131,,
148.8191297,6,,
844.8142887,297,,
408.3620126,57,,
634.1966481,124,,
646.3206892,120,,
924.4042558,403,,
877.9454469,328,,
888.0925297,383,,
697.1455992,171,,
388.9181325,44,,
691.4574574,179,,
394.1343697,46,,
440.4484653,43,,
526.6172083,91,,
919.4821431,408,,
238.6176994,17,,
530.5910159,89,,
918.7268745,418,,
713.2786396,204,,
727.2358313,206,,
314.7946722,21,,
840.661691,315,,
417.2142157,45,,
303.4055701,36,,
678.4292958,178,,
869.8690212,325,,
270.1087748,18,,
604.5954116,138,,
359.0984964,33,,
224.2866999,23,,
623.4625101,121,,
751.5085866,201,,
323.4523742,37,,
632.8532684,129,,
23.04638107,10,,
608.6959264,141,,
980.758596,475,,
462.3109286,68,,
679.9021934,142,,
974.88207,450,,
70.99036593,9,,
975.9006612,485,,
879.5875693,329,,
578.6405059,108,,
524.5075296,96,,
556.2843441,97,,
720.6017978,199,,
221.2513678,29,,
551.1759464,94,,
718.4316271,178,,
444.943632,70,,
368.2136259,40,,
732.1137979,199,,
708.7518976,164,,
959.4431659,469,,
463.6232434,84,,
999.5484333,498,,
538.7289908,88,,
52.62178718,3,,
663.4908102,160,,
94.59316474,11,,
714.7965387,187,,
438.7249683,52,,
572.4056521,111,,
648.3943432,158,,
457.8385632,50,,
621.2536437,135,,
172.8382122,16,,
69.67330351,9,,
911.8438526,397,,
962.2919231,445,,
519.1909047,81,,
519.7940476,84,,
840.0784079,305,,
8.639101405,5,,
575.5114576,106,,
746.6486674,227,,
715.9711269,192,,
716.2528522,215,,
498.8364626,67,,
442.3181219,59,,
852.9852286,314,,
5.578373093,7,,
70.75823541,6,,
723.9674993,199,,
97.83604741,7,,
329.176951,38,,
466.4681202,56,,
393.93412,38,,
283.0248913,24,,
66.90383237,4,,
805.840156,285,,
123.8247147,12,,
711.539377,198,,
54.04346064,9,,
680.1907169,154,,
265.1513636,25,,
825.3063529,261,,
26.59561089,10,,
564.1630986,108,,
214.0737372,11,,
156.5389631,16,,
672.1162463,165,,
848.6205449,312,,
112.2040132,10,,
386.3976544,44,,
51.0978282,10,,
413.0748478,49,,
294.4349414,27,,
36.44104069,10,,
469.240231,72,,
456.1998514,60,,
458.7377869,70,,
594.8956425,113,,
471.7155988,73,,
625.4433496,134,,
473.6954698,70,,
257.6317284,23,,
260.0573238,23,,
221.652051,19,,
977.3132137,467,,
937.5266617,431,,
540.7761456,102,,
424.6531636,63,,
230.5976448,24,,
517.5811441,89,,
448.7483567,62,,
291.7473076,33,,
409.1136365,48,,
560.404765,92,,
902.8006811,353,,
814.2929731,314,,
513.4402439,81,,
543.1087185,101,,
349.9903048,42,,
631.1549919,137,,
409.9589624,59,,
810.2727504,273,,
43.74295636,8,,
820.4391117,292,,
899.9517157,379,,
35.84366874,11,,
431.1633625,51,,
402.351052,45,,
426.0136811,60,,
865.3684352,369,,
779.1940116,232,,
192.9813817,17,,
687.597564,168,,
932.9081629,435,,
271.9807823,29,,
192.5114808,13,,
545.2955768,89,,
231.4619229,24,,
559.7325433,114,,
253.2639378,25,,
759.2240998,227,,
308.3666344,36,,
192.3673484,15,,
730.9752053,217,,
299.9973414,28,,
554.9134826,94,,
808.9481723,271,,
31.78517567,7,,
290.4288447,29,,
143.8912367,16,,
208.1032034,27,,
598.1168384,105,,
84.20856972,20,,
664.0298043,148,,
11.45826513,4,,
153.9477012,12,,
644.9872209,135,,
223.2037103,19,,
669.5279796,166,,
315.0956999,33,,
996.2108678,484,,
705.9732375,206,,
85.97435593,15,,
290.873938,34,,
388.7498614,42,,
595.0035749,114,,
428.5567214,51,,
932.2916528,409,,
918.8299254,396,,
703.954444,196,,
811.6314227,295,,
39.76823413,7,,
546.9558798,97,,
829.8214257,288,,
626.5307225,123,,
532.2717119,84,,
505.0689352,73,,
825.4499058,297,,
557.6843135,120,,
484.5567732,65,,
628.0656981,143,,
106.5466776,11,,
31.88415361,12,,
212.8499069,16,,
95.52407265,15,,
188.4527395,14,,
135.7873152,8,,
540.8877106,88,,
641.394207,160,,
79.95024603,15,,
324.5268068,34,,
806.6223131,281,,
543.9403383,76,,
776.257128,269,,
491.2542081,78,,
508.4638395,89,,
56.87845056,8,,
724.2252021,220,,
448.8304211,65,,
734.3167805,208,,
788.9462681,227,,
855.6970288,340,,
55.65828318,12,,
796.1796878,257,,
991.7428712,507,,
193.7119938,17,,
99.21952989,9,,
261.2809855,23,,
990.5243574,482,,
926.5765909,403,,
209.5334432,18,,
158.6297345,11,,
293.0551833,26,,
25.76522692,5,,
856.3824894,308,,
392.3900875,43,,
528.3271058,76,,
394.4419501,47,,
492.9779358,84,,
876.109343,347,,
739.9721118,205,,
611.4512086,128,,
488.0380214,65,,
529.897545,87,,
639.240138,119,,
506.9256406,74,,
549.0947936,91,,
693.8708324,188,,
541.7445754,105,,
212.2266546,21,,
425.4790812,53,,
801.5571951,293,,
282.0127467,26,,
192.1110873,23,,
802.6117012,296,,
486.5562518,77,,
842.4890097,304,,
182.8210398,18,,
361.5093278,38,,
626.7429756,140,,
627.606197,124,,
808.5043661,279,,
352.485283,46,,
474.3699115,74,,
246.3120641,24,,
112.1609502,8,,
768.0210257,234,,
115.8752362,10,,
668.1928921,155,,
274.9064106,24,,
16.30420214,16,,
40.55176093,12,,
987.5187243,509,,
319.1087211,35,,
447.9836447,57,,
258.6722767,26,,
526.6522481,68,,
404.5925159,40,,
256.3623921,27,,
453.4294542,75,,
531.9730451,92,,
513.9372109,64,,
553.2070461,78,,
441.7515129,66,,
835.8152919,312,,
630.0232108,143,,
617.3053419,115,,
680.8555233,167,,
628.4263772,123,,
301.3226318,26,,
650.2304995,141,,
195.0826056,22,,
26.6317944,2,,
104.0253816,15,,
880.7411017,370,,
670.6101634,160,,
724.1886517,221,,
868.5436251,351,,
318.1236861,33,,
146.3880839,9,,
350.0379336,29,,
159.0542444,12,,
901.5931399,393,,
312.6923805,37,,
485.3560482,73,,
320.8581673,25,,
316.5576879,29,,
454.3270241,71,,
601.2916968,118,,
74.38315707,7,,
799.2154334,288,,
212.3814838,19,,
245.4498212,23,,
775.975107,275,,
14.84391745,10,,
576.3432852,109,,
172.7610521,14,,
637.4950642,148,,
416.1563667,62,,
223.3659597,19,,
342.9521178,38,,
547.6708536,106,,
829.7514366,313,,
478.6003488,67,,
784.5370015,249,,
455.9251936,71,,
268.3247817,19,,
807.419298,282,,
368.5849376,54,,
450.9441955,64,,
480.7158236,83,,
744.9409347,207,,
210.6954735,19,,
816.736958,255,,
699.5125876,168,,
119.0884516,11,,
801.1618587,259,,
369.2410116,48,,
258.817042,26,,
742.6875632,229,,
153.7037066,14,,
979.1452198,478,,
366.4316873,37,,
245.0033168,27,,
304.5637279,48,,
979.6479878,449,,
888.0180817,359,,
761.137177,233,,
76.30319474,8,,
816.5986538,294,,
540.4803236,100,,
50.01790402,12,,
651.1884858,154,,
180.5712664,15,,
103.7912327,6,,
49.98788401,2,,
676.5620811,164,,
236.0652096,29,,
249.9604088,17,,
367.2261639,30,,
669.2534264,159,,
627.1348502,140,,
